2513,,,2,28,0
2514,,,3,28,0
2515,,,4,28,0
2252,,,1,2,0
2253,,,2,2,0
2254,,,3,2,0
2255,,,4,2,0
2256,,,5,2,0
2257,,,6,2,0
2258,,,7,2,0
2645,,,4,41,0
2646,,,5,41,0
2647,,,6,41,0
2262,,,1,3,0
2263,,,2,3,0
2264,,,3,3,0
2265,,,4,3,0
2266,,,5,3,0
2267,,,6,3,0
2268,,,7,3,0
2648,,,7,41,0
2272,,,1,4,0
2273,,,2,4,0
2274,,,3,4,0
2275,,,4,4,0
2276,,,5,4,0
2277,,,6,4,0
2278,,,7,4,0
2652,,,1,42,0
2653,,,2,42,0
2282,,,1,5,0
2283,,,2,5,0
2284,,,3,5,0
2285,,,4,5,0
2286,,,5,5,0
2287,,,6,5,0
2288,,,7,5,0
2654,,,3,42,0
2655,,,4,42,0
2656,,,5,42,0
2292,,,1,6,0
2293,,,2,6,0
2294,,,3,6,0
2295,,,4,6,0
2296,,,5,6,0
2297,,,6,6,0
2298,,,7,6,0
2657,,,6,42,0
2658,,,7,42,0
2302,,,1,7,0
2303,,,2,7,0
2304,,,3,7,0
2305,,,4,7,0
2306,,,5,7,0
2307,,,6,7,0
2308,,,7,7,0
2662,,,1,43,0
2312,,,1,8,0
2313,,,2,8,0
2314,,,3,8,0
2315,,,4,8,0
2316,,,5,8,0
2317,,,6,8,0
2318,,,7,8,0
2663,,,2,43,0
2664,,,3,43,0
2665,,,4,43,0
2322,,,1,9,0
2323,,,2,9,0
2324,,,3,9,0
2325,,,4,9,0
2326,,,5,9,0
2327,,,6,9,0
2328,,,7,9,0
2666,,,5,43,0
2667,,,6,43,0
2668,,,7,43,0
2332,,,1,10,0
2333,,,2,10,0
2334,,,3,10,0
2335,,,4,10,0
2336,,,5,10,0
2337,,,6,10,0
2338,,,7,10,0
2342,,,1,11,0
2343,,,2,11,0
2344,,,3,11,0
2345,,,4,11,0
2346,,,5,11,0
2347,,,6,11,0
2348,,,7,11,0
2672,,,1,44,0
2673,,,2,44,0
2674,,,3,44,0
2352,,,1,12,0
2353,,,2,12,0
2354,,,3,12,0
2355,,,4,12,0
2356,,,5,12,0
2357,,,6,12,0
2358,,,7,12,0
2675,,,4,44,0
2676,,,5,44,0
2677,,,6,44,0
2362,,,1,13,0
2363,,,2,13,0
2364,,,3,13,0
2365,,,4,13,0
2366,,,5,13,0
2367,,,6,13,0
